time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T09:11:27.530Z,19.2061672210693,-155.420333862305,32.8800010681152,1.84000003,md,43,146,,0.129999995,hv,hv72914187,2022-02-12T09:16:57.900Z,"6 km E of Pāhala, Hawaii",earthquake,0.58,0.829999983,0.779999971,8,automatic,hv,hv
2022-02-12T09:08:16.330Z,38.8334999,-122.8099976,2.03,1.73,md,31,38,0.01009,0.02,nc,nc73691831,2022-02-12T10:57:11.069Z,"8km W of Cobb, CA",earthquake,0.17,0.32,0.14,8,automatic,nc,nc
2022-02-12T08:59:00.240Z,19.1978340148926,-155.398834228516,30,1.90999997,md,39,160,,0.129999995,hv,hv72914162,2022-02-12T09:02:08.490Z,"8 km E of Pāhala, Hawaii",earthquake,0.58,1.12,0.810000002,3,automatic,hv,hv
2022-02-12T08:46:57.827Z,59.5768,-153.4264,108.1,2,ml,,,,1,ak,ak0221z95dfe,2022-02-12T08:51:37.603Z,"44 km ESE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T08:45:19.904Z,-21.0881,-178.4422,531.96,4.4,mb,,115,4.69,0.58,us,us7000gk8q,2022-02-12T09:03:25.040Z,"Fiji region",earthquake,12.7,8.8,0.079,46,reviewed,us,us
2022-02-12T08:40:25.113Z,38.1875,-117.7762,0.4,1.3,ml,13,170.63,0.123,0.1747,nn,nn00833734,2022-02-12T08:44:11.022Z,"36 km SE of Mina, Nevada",earthquake,,5.8,0.31,7,automatic,nn,nn
2022-02-12T08:25:11.116Z,3.3914,126.5505,36.36,4.6,mb,,67,2.727,0.76,us,us7000gk8l,2022-02-12T08:52:26.040Z,"245 km NW of Tobelo, Indonesia",earthquake,6,8.4,0.09,37,reviewed,us,us
2022-02-12T08:22:06.640Z,17.9518333333333,-66.941,13.37,1.72,md,7,212,,0.05,pr,pr71334393,2022-02-12T09:02:23.340Z,"4 km WSW of Guánica, Puerto Rico",earthquake,0.45,0.54,0.169897131891323,6,reviewed,pr,pr
2022-02-12T08:13:04.276Z,38.158,-118.1346,0,1.6,ml,16,77.94,0.125,0.1404,nn,nn00833730,2022-02-12T08:16:52.504Z,"25 km S of Mina, Nevada",earthquake,,3.8,0.27,10,automatic,nn,nn
2022-02-12T08:04:47.430Z,35.701,-117.5458333,2.08,1.4,ml,18,149,0.122,0.21,ci,ci40183872,2022-02-12T08:08:27.227Z,"15km NE of Ridgecrest, CA",earthquake,0.4,0.66,0.178,17,automatic,ci,ci
2022-02-12T07:30:27.180Z,37.4288333,-121.7658333,10.02,1,md,34,71,0.0559,0.07,nc,nc73691811,2022-02-12T13:59:12.154Z,"9km NE of Alum Rock, CA",earthquake,0.18,0.35,0.239,26,reviewed,nc,nc
2022-02-12T07:28:23.480Z,19.2498340606689,-155.418334960938,31.7099990844727,1.95000005,md,46,122,,0.119999997,hv,hv72914127,2022-02-12T07:31:30.400Z,"8 km NE of Pāhala, Hawaii",earthquake,0.51,0.720000029,0.870000005,20,automatic,hv,hv
